type,id,amount,oldbalanceOrig,newbalanceOrig,oldbalanceRec,newbalanceRec,Country,senders_name,ReceiversBank,SendersBank,receiver_name,TransactionDates,isFraud
transfer,1df1afc4-ded9-47ca-93a3-1deb328a09bf,6589.92,14239.71,7649.79,54360.64,60950.56,India,Joanne Johnson,Wells Fargo,HSBC,Jeffery Contreras,2024-05-03,False
transfer,890c30da-2720-42b4-ba9f-b8cef3e36ed5,2777.03,39925.0,37147.97,34312.6,37089.63,Canada,David Garcia,State Bank of India,UBS,Laura Chambers,2020-07-14,False
transfer,29fcd3e2-6ea4-4e17-b28f-c8c688b30922,12223.76,29934.48,17710.72,6495.92,18719.68,France,Sarah Gilbert,Kotak Mahindra Bank,DBS Bank,Amy Hayes,2025-04-05,False
cash_out,ff686e85-3a9f-4635-95dd-f19e8ca68eb1,21662.18,53204.34,31542.16,13881.25,35543.43,USA,Kerry Wright,Bank of America,Barclays,Martin Thompson,2024-11-02,False
transfer,d0d0d99d-b7a4-4237-a77f-172590ea31de,34167.23,43716.26,9549.03,172.89,34340.12,France,Lawrence King,HDFC Bank,HDFC Bank,William Hodge,2021-10-07,False
transfer,ff53fad2-8f2c-4ce4-8937-dab2cf4d655f,47961.63,128323.73,80362.1,89137.68,137099.31,France,Kurt Ward,DBS Bank,ICICI Bank,Anthony Patterson,2022-02-25,False
cash_out,4650377a-0307-4ce1-9036-c8a6b4460947,28199.35,48656.92,20457.57,45561.15,73760.5,UK,Eric Alexander,Standard Chartered,UBS,Krista Hill,2020-12-13,False
debit,d06d3943-c8b3-415e-b664-704355c9bf0f,135.92,63938.53,63802.61,37904.36,38040.28,USA,Sydney Robles,Deutsche Bank,HDFC Bank,Mr. Steven Herrera,2021-08-11,False
cash_out,331b2e74-dba1-4ca9-9048-9b748b63563a,19568.46,108374.39,88805.93,49343.87,68912.33,Canada,Alexander Moore,Bank of America,ICICI Bank,Kevin Martin,2021-06-25,False
debit,c7f7040b-8718-4322-b43c-6de656fdc504,5523.88,49381.09,43857.21,83935.75,89459.63,USA,Jerry Gilmore,Chase Bank,State Bank of India,Angel Holland,2021-10-01,False
transfer,9b6694a3-8242-4221-aeff-cf5f88b9176f,16217.39,46695.54,30478.15,50442.43,66659.82,Singapore,Jeffrey Johnson,ICICI Bank,Chase Bank,Marcus Wolf,2025-06-02,False
cash_out,db8cd76b-705c-4aa0-8f4a-7615c900b0aa,4910.24,19289.44,14379.2,34592.21,39502.45,Singapore,Dean Smith,Chase Bank,Wells Fargo,Ann Morrison,2024-01-03,False
cash_out,bcbd36ea-f194-4488-8aac-c59afc6ca1f5,13165.36,43079.72,29914.36,14481.7,27647.06,India,Kristin Neal MD,Chase Bank,Bank of America,David Braun,2023-09-28,False
transfer,486d00d2-05ed-4c70-9b6c-dfeaa405febc,13966.45,95097.22,81130.77,92171.94,106138.39,USA,Lucas Evans,State Bank of India,DBS Bank,Tara Morgan,2024-07-26,False
cash_out,7d13d10e-8237-47df-9b9c-c67b44c4dedf,44293.83,113123.96,68830.13,22679.92,66973.75,Canada,Amy Sloan,Bank of America,Deutsche Bank,Richard Baker,2023-05-31,False
transfer,d66096fd-c898-410b-897c-4cd251ac23ca,16686.98,61264.5,44577.52,64462.43,81149.41,Canada,Catherine Chapman,State Bank of India,State Bank of India,John Lopez,2025-05-31,False
cash_out,a2e0f358-c753-4bff-9fd8-8e61c5b9cf38,45136.81,141122.48,95985.67,53982.97,99119.78,Singapore,Jason Chase,HDFC Bank,Kotak Mahindra Bank,Henry Lutz,2025-03-16,False
transfer,b7973326-8c5b-4efd-b44e-f2910d98000e,21451.66,114014.6,92562.94,97604.95,119056.61,India,Margaret Gibbs,Deutsche Bank,Bank of America,Jason Lynch,2020-12-29,False
transfer,2805cb7d-1ef3-4fdb-afd2-7e695274af20,49154.41,61277.36,12122.95,61857.8,111012.21,Canada,Robert Rogers,UBS,Kotak Mahindra Bank,Thomas Oneal,2021-03-14,False
transfer,6a33ca67-1c46-413c-8925-3dd318649df3,36412.0,45755.23,9343.23,92017.47,128429.47,Singapore,Marie Abbott,Kotak Mahindra Bank,Standard Chartered,Walter Lee,2025-03-09,False
transfer,bd193401-738b-41ee-a4f7-0fe6f68a64db,34993.05,83923.14,48930.09,34708.93,69701.98,UK,Leslie Reeves,Deutsche Bank,Wells Fargo,Donald Adams,2024-11-26,False
debit,d8f3db5a-d396-4709-bbb8-5b3e77de1935,7807.21,75744.48,67937.27,59486.15,67293.36,France,Julie Nichols,Deutsche Bank,UBS,Regina Lewis,2021-07-30,False
cash_out,f4e90e56-8765-40e2-9ca9-eb52aa661b01,31406.3,47865.24,16458.94,86804.85,118211.15,Germany,Kylie Martinez,DBS Bank,Kotak Mahindra Bank,Jodi Garrett,2023-01-07,False
transfer,bafd275d-6d14-431f-a9ef-b05f4963916a,14811.04,40281.29,25470.25,61822.3,76633.34,Germany,Shannon Freeman,ICICI Bank,ICICI Bank,Jordan Soto,2024-03-29,False
transfer,344cd663-ba7b-4a7f-b0e0-997e40d0cd24,9315.84,14738.82,5422.98,95893.76,105209.6,Germany,Mary Roberts,UBS,Chase Bank,Kathryn Ramos,2025-06-12,False
cash_out,1dd1256e-6365-4613-8d95-e2176fcb3ba4,49019.1,49738.85,719.75,1119.37,50138.47,India,Sara Hurley,Chase Bank,Chase Bank,Steve Skinner,2023-11-09,False
transfer,ce1e5114-aaa2-4027-bfd9-8eee6066eb28,17492.15,87123.34,69631.19,51349.94,68842.09,France,Tricia Jacobs,HDFC Bank,ICICI Bank,Eric Moran,2022-07-20,False
transfer,65cfe620-718d-4b18-bb8e-7c5cc20b2912,43386.19,142211.59,98825.4,82300.33,125686.52,UK,Robert Hawkins,State Bank of India,HSBC,Ashley Robbins,2022-02-06,False
debit,19bd05eb-f5ae-4dec-a530-480943936e6e,28738.12,105886.95,77148.83,70601.84,99339.96,India,Jessica Mejia,State Bank of India,HDFC Bank,Madeline Mcdonald,2023-02-04,False
debit,34f11f91-c4a3-4d48-86b3-c0a9df088eeb,18413.07,116027.79,97614.72,79878.47,98291.54,Singapore,Jackie Thompson,Barclays,DBS Bank,Dr. Victoria Jones,2021-03-26,False
debit,0015d8d8-671a-4b39-a463-6065616cdacb,22842.38,86943.11,64100.73,49700.79,72543.17,Singapore,Tara Key,DBS Bank,HSBC,Patrick Gonzales,2021-11-06,False
cash_out,c6b0700a-7b13-4175-aa8b-700ad0c5a067,3165.54,44136.8,40971.26,25127.17,28292.71,Singapore,Kim Little,ICICI Bank,Kotak Mahindra Bank,Preston Hayes,2022-02-09,False
debit,19f9445e-b33a-4c51-8315-abae750c32ad,28654.6,93867.65,65213.05,2748.16,31402.76,India,Jonathan Bowen,Wells Fargo,DBS Bank,Isabella Wells,2023-09-19,False
cash_out,4b140fe7-7426-4529-b77d-37710656e5e0,1263.89,41446.86,40182.97,91158.0,92421.89,India,Gregory Chan,State Bank of India,Standard Chartered,Jason Thompson,2020-11-30,False
cash_out,a67d14de-8b3d-4465-9963-2c983c188cb3,13417.86,93570.22,80152.36,46216.96,59634.82,France,Cameron Adams,ICICI Bank,Barclays,Steven Peters,2023-05-29,False
debit,b211bf29-c0e8-45c2-82ad-622bdc5b5dc1,2272.38,45128.28,42855.9,78677.71,80950.09,Singapore,Karen Estrada,Deutsche Bank,Wells Fargo,Emily Greer,2024-08-18,False
cash_out,ba6596be-0118-4f9d-ac3a-9f7847effe3b,18582.75,47640.4,29057.65,29065.21,47647.96,UK,Andrew Campbell,HDFC Bank,DBS Bank,Donald Caldwell,2021-01-17,False
transfer,1b952ae5-5068-41b9-822a-899a71b31c91,14194.91,103655.39,89460.48,9277.71,23472.62,Germany,Jacob Parsons,Kotak Mahindra Bank,Chase Bank,James Moore,2021-09-17,False
transfer,f6ca675c-7608-4a14-a7ef-97c38fec009d,33987.1,103847.1,69860.0,62979.64,96966.74,Germany,Sandra Burns,ICICI Bank,ICICI Bank,Lisa Marquez,2023-01-15,False
cash_out,832b8951-028b-49ea-9a86-5fe730901f6e,28235.11,72111.1,43875.99,52987.49,81222.6,Germany,Kathleen Tucker,Wells Fargo,Deutsche Bank,Rachael Ruiz,2024-05-31,False
debit,a74d6072-1505-4857-ba2f-558b188c2153,41924.98,109965.89,68040.91,62314.17,104239.15,Germany,Kristen Holder,State Bank of India,State Bank of India,Thomas Lawrence,2021-04-05,False
debit,6e9fe1db-6eef-41b1-b861-8edf49810d1f,21912.03,95334.86,73422.83,81427.37,103339.4,India,Donna Goodwin,HSBC,Deutsche Bank,George Ryan,2024-03-05,False
transfer,73879fae-bf3d-41a5-a7ec-3d498ecde9e5,33810.45,61114.4,27303.95,48343.64,82154.09,India,Joseph Stephens,Chase Bank,UBS,Dr. Lauren Dixon,2023-06-08,False
debit,9cc3c1f5-9129-4c75-9b08-e5a844511ba0,9509.69,97725.9,88216.21,43710.64,53220.33,USA,Brittany Lopez,Standard Chartered,State Bank of India,Phillip Salazar,2021-07-29,False
transfer,5a993c98-8d30-416c-b209-1fca11618dc5,29359.12,120876.62,91517.5,80609.75,109968.87,Canada,Lindsay Jackson,ICICI Bank,Deutsche Bank,Michael Francis,2023-04-17,False
transfer,09f68439-6f77-4c54-8bb1-07defaa0a297,27019.8,103270.03,76250.23,72252.27,99272.07,USA,Samantha Rogers,ICICI Bank,State Bank of India,Antonio Atkins,2021-09-29,False
transfer,ef29f413-7fda-4666-9b31-4321aa4e8b03,19008.25,97749.66,78741.41,11096.9,30105.15,USA,Luis Powell,HSBC,Bank of America,Nicholas Hall,2020-11-02,False
transfer,5f8f5009-a3d0-466e-a183-7df54f09e697,5689.52,77907.22,72217.7,78172.16,83861.68,India,Amanda Stevens,Kotak Mahindra Bank,DBS Bank,Jeremy Brown,2020-12-22,False
transfer,3a010c14-835a-4cf4-bcb5-04909267d0b5,41776.67,110111.77,68335.1,6267.12,48043.79,Singapore,Angela Robbins,Barclays,Kotak Mahindra Bank,Sara Sampson,2022-08-03,False
debit,9e45455e-24d3-4751-a729-4d3c46818a88,37473.16,106358.21,68885.05,28506.94,65980.1,Germany,Laura Kennedy,State Bank of India,HDFC Bank,Pooja Mishra,2021-12-03,True
transfer,1d40fd59-39e5-4b23-a615-f4e40ea440c4,2465.49,60037.31,57571.82,68609.35,71074.84,Canada,Ashley Sullivan,UBS,Barclays,Matthew Blackwell,2022-11-13,False
transfer,007f5257-3115-4df8-b563-a086667d9ac4,35169.95,101589.02,66419.07,16766.56,51936.51,Canada,Elizabeth Jimenez,Bank of America,HSBC,Casey Frey,2021-11-19,False
debit,2b9fcfff-cd42-43fe-9de6-ccd677b8d600,19328.69,102191.56,82862.87,38737.51,58066.2,USA,Monica Mcdonald,ICICI Bank,HDFC Bank,Gregory Logan,2021-10-10,False
transfer,69c6ea0b-b3ee-4009-881d-4d533d6a96d9,8308.09,23565.8,15257.71,27184.34,35492.43,France,Virginia Wilson,HDFC Bank,Standard Chartered,Danielle Wagner,2024-09-07,False
transfer,85743aba-d95d-4c60-9f09-4ae9da4702b8,40208.67,113864.2,73655.53,29157.88,69366.55,Singapore,Manuel Holt,UBS,State Bank of India,Peter Simpson,2021-10-24,False
transfer,4aeeccef-871c-4a58-9334-dce93145d4c5,45394.86,73464.87,28070.01,68259.87,113654.73,UK,Sarah Vasquez,Kotak Mahindra Bank,ICICI Bank,Daniel Estrada,2022-06-25,False
transfer,3111fe6d-6e9f-490e-8851-be711aa026c1,34285.59,110193.31,75907.72,10756.88,45042.47,India,Heather Ramos,HSBC,Wells Fargo,Patrick Day,2024-11-24,False
cash_out,ad27b724-f669-4adf-9ec5-fb4cf19d95a7,2799.99,61225.73,58425.74,94026.01,96826.0,France,Alexandra Gutierrez,DBS Bank,Deutsche Bank,Scott Robinson,2024-06-10,False
transfer,ced50ff0-b1de-4e0a-a742-1df5ae21d937,8611.55,16849.63,8238.08,78024.99,86636.54,Singapore,Angela Hall,Standard Chartered,DBS Bank,Sarah Morgan,2021-09-15,False
cash_out,c0cbd7f1-bb30-457b-a161-6997078d4502,28728.03,38500.47,9772.44,45944.19,74672.22,USA,Christine Sanchez,Wells Fargo,DBS Bank,Nicole Doyle,2023-02-02,False
cash_out,6a3e0103-c13d-4929-b717-548d5f57fd27,11858.39,23609.17,11750.78,53019.9,64878.29,India,Patricia Smith,Chase Bank,Deutsche Bank,Jonathan Miller,2024-06-26,False
transfer,e5dd61ae-0eff-4129-a058-dffcf9f34c61,25729.65,35133.98,9404.33,56454.41,82184.06,India,Thomas Edwards,Bank of America,UBS,Malik Wilson,2024-08-25,False
debit,6e72086e-0e75-4738-a1ac-812f6337aa95,30933.16,125864.52,94931.36,87037.49,117970.65,France,Samantha Cannon,Kotak Mahindra Bank,Deutsche Bank,Brian Hernandez,2021-03-14,False
cash_out,fb079401-f4f1-4386-b3f2-98cf462f8c20,29958.77,44187.45,14228.68,56807.88,86766.65,USA,Cindy Campbell,UBS,Chase Bank,Dr. Jason Moreno,2025-05-28,False
cash_out,28e0fd9e-4f7d-4715-8ba5-5e2f19bda5ca,2560.1,14971.78,12411.68,13476.77,16036.87,France,Christopher Williams,State Bank of India,UBS,David Brooks,2023-02-15,False
transfer,ff319c50-ebe9-443c-a411-40642b33a890,7589.64,74363.87,66774.23,11775.0,19364.64,France,James Thompson,Deutsche Bank,Chase Bank,Jon Johnson,2022-01-08,False
cash_out,14af2cee-e4bc-4603-8163-4bbfe5f1bf40,45210.11,77069.32,31859.21,92035.38,137245.49,UK,Christopher Sanchez,Wells Fargo,ICICI Bank,Megan Lopez,2024-09-22,False
transfer,7dad0327-cc58-4b77-be5f-c839e26b910e,45470.41,70316.46,24846.05,41122.59,86593.0,France,Sharon Ramirez,HDFC Bank,HSBC,Jared King,2024-04-17,False
transfer,59292739-a62d-43bd-afe5-7159550026bf,45494.13,66857.08,21362.95,16172.37,61666.5,India,Laura Maldonado,State Bank of India,Barclays,Richard Hanson,2023-09-23,False
debit,f11c0ac5-8c0b-493a-9333-5bc9bb635ff5,28678.44,52242.64,23564.2,29885.21,58563.65,Germany,Glenn Barron,HDFC Bank,Standard Chartered,Roger Pedro,2021-10-28,True
transfer,f3d95893-9c0b-45a8-969e-f2b5273ea833,26542.07,56533.03,29990.96,24233.65,50775.72,Canada,Shelby Gomez,Kotak Mahindra Bank,HSBC,Daniel Perry,2021-10-06,False
debit,ec1b739e-d628-4527-af56-b0e2f6ba93d5,1923.58,34746.47,32822.89,54763.56,56687.14,Canada,Heather Ross,ICICI Bank,DBS Bank,Rebecca Scott,2024-05-28,False
cash_out,431e238d-361b-43a3-815a-38b3bb8c99d8,23723.5,72291.39,48567.89,67829.49,91552.99,UK,Kimberly Jones,HSBC,Bank of America,Adrian Rodriguez,2021-12-31,False
transfer,70eeb7e3-249a-4b76-9c48-b945f589bbe3,23146.13,76441.07,53294.94,88975.8,112121.93,USA,Melissa Bell,Deutsche Bank,State Bank of India,Rachel Richards,2024-03-03,False
cash_out,c5700d0a-2ddb-4035-ae01-4dc9d0357ce0,21756.62,51553.3,29796.68,48357.93,70114.55,France,Jeffery Armstrong,State Bank of India,Kotak Mahindra Bank,John Mcdonald,2024-09-28,False
debit,a0696926-0fb0-48a4-a7fe-1227d154b69f,37152.28,84893.06,47740.78,87863.92,125016.2,India,Kathleen Cunningham,Barclays,State Bank of India,Kevin Morris,2022-04-02,False
debit,43a2647c-2d52-4504-b9cd-ea833a470c64,42227.55,60399.94,18172.39,85344.86,127572.41,USA,Mary Hall,HSBC,HDFC Bank,Kaitlyn Young,2021-02-19,False
transfer,cbf1c5be-6272-4109-9f18-7f9d7f7181a3,37805.36,89372.23,51566.87,11086.43,48891.79,Singapore,Gregory Hebert,UBS,Wells Fargo,Stacy Turner,2023-09-17,False
cash_out,e36b4fca-aecb-4e3b-996a-9e1e151f29e3,36123.65,46911.52,10787.87,5052.19,41175.84,Germany,Stephen Hobbs,Kotak Mahindra Bank,Deutsche Bank,Brenda White,2024-08-19,False
debit,a72e0aa5-7b49-4b33-80bb-9aa54698ae74,29711.94,66520.1,36808.16,85458.44,115170.38,France,Gabriel Jones,Kotak Mahindra Bank,Barclays,John Young,2023-02-19,False
transfer,ff3c6eb0-fd0b-452c-971b-a6826c4d1810,24746.76,115016.11,90269.35,6040.4,30787.16,Singapore,Scott Johnson,ICICI Bank,Barclays,Brenda Williamson,2022-09-27,False
transfer,bc852b37-9005-4a31-9fca-4f203eed8d85,31497.95,117712.83,86214.88,74412.08,105910.03,India,Amanda Gordon,State Bank of India,State Bank of India,Gregory Nelson,2023-11-03,False
cash_out,aa53c19c-dfa4-4b9f-9a85-6750692ac139,30717.31,94987.23,64269.92,2625.38,33342.69,Canada,Kristina Rivera,Bank of America,Standard Chartered,Angel Lopez,2021-06-30,True
transfer,0d1b149c-7ae9-4cb4-ba58-0968fd135421,46902.08,88589.77,41687.69,8917.97,55820.05,UK,Andrea Blackwell,Barclays,UBS,Briana Miller,2021-01-17,False
transfer,d0d5c451-e435-4a4b-97a1-0ad80823ffee,503.31,22468.09,21964.78,42821.68,43324.99,USA,Heather Murray,Kotak Mahindra Bank,Standard Chartered,Sara Waters,2025-02-28,False
transfer,95cfa030-004e-4623-8e88-78cffc6adb77,37170.01,40971.1,3801.09,41643.5,78813.51,USA,Taylor Young DDS,HDFC Bank,ICICI Bank,Felicia Carlson,2023-02-11,False
transfer,bc36a6ed-29b0-495e-909a-b1d3f299839d,38272.55,82123.82,43851.27,39356.9,77629.45,Singapore,Chelsea Smith,HSBC,Barclays,April Little,2022-10-20,False
transfer,92844316-8c10-4d50-a13a-69fadf41981b,25592.05,99990.69,74398.64,77292.27,102884.32,India,Emma Miller,Barclays,HDFC Bank,Scott Schmidt,2022-09-22,False
cash_out,2710a9b1-c117-4d1a-b132-f9da001def7a,18427.96,43235.73,24807.77,43914.59,62342.55,UK,Sean Jenkins,Kotak Mahindra Bank,State Bank of India,Dawn Williams,2024-01-28,False
transfer,7d416061-02ff-47f9-baad-96cbc74bdef2,8394.15,18983.62,10589.47,35383.29,43777.44,USA,Tracy Blankenship,Chase Bank,Chase Bank,Dr. Jeremy Cook DDS,2022-07-27,False
transfer,fcb36a98-9221-491b-b60f-79e6c257db6d,39633.01,60411.21,20778.2,11709.71,51342.72,Germany,Kathryn White,HDFC Bank,Bank of America,Darlene Blake,2023-10-03,False
debit,fcd81879-b10d-40c0-bc2c-afa2e55ed574,24503.9,123674.02,99170.12,97379.92,121883.82,Canada,Kevin Kim,ICICI Bank,Standard Chartered,Jade Martinez,2024-11-10,False
cash_out,d3592769-30c5-46b1-bfcd-ca5cc99ab958,4005.18,45251.67,41246.49,78903.48,82908.66,Germany,Christopher Ross,ICICI Bank,Bank of America,Brittany Pruitt,2025-01-25,False
cash_out,e384bd02-bee1-42bc-8ff1-06bafb35b523,40113.08,82460.9,42347.82,82382.89,122495.97,Germany,Peter Cuevas,HSBC,Kotak Mahindra Bank,Sharon Mccormick,2025-06-07,False
transfer,4b25d84a-ea88-4978-9bde-7063fe02fb73,24033.54,50913.62,26880.08,28072.64,52106.18,UK,Jacqueline Fisher,HSBC,Deutsche Bank,Paul Silva,2021-06-15,False
cash_out,1429e7ef-db3e-4de3-b8a6-0890d14e4929,8294.03,54062.97,45768.94,19127.64,27421.67,France,Erica Russo,UBS,HSBC,Pamela Alexander,2020-10-22,False
cash_out,1f115b76-d92c-4227-aadf-50853fcb7546,29813.07,124817.03,95003.96,89142.59,118955.66,France,Melissa Marshall,Wells Fargo,Standard Chartered,Dimitri Bush,2025-03-13,True
debit,37baabc1-dcee-430c-915c-4b94248dcd4e,41470.23,60038.07,18567.84,35939.29,77409.52,UK,Marilyn Mcclure,Barclays,State Bank of India,Katie Johnson,2021-12-20,False
transfer,006bfc3a-0b4a-4207-aa52-139014d6692a,28836.22,48080.53,19244.31,64174.23,93010.45,UK,Adam Rodriguez,Wells Fargo,State Bank of India,Charles Ritter,2021-11-09,False
cash_out,8e456ad3-6354-415e-8953-c0cbb72785fe,39413.47,125193.04,85779.57,90844.38,130257.85,Germany,Thomas Johnson,DBS Bank,Standard Chartered,Andres Wright,2024-10-30,False
debit,6531eeaa-fdad-426a-88f8-9804b5434f85,42733.9,115589.38,72855.48,97974.25,140708.15,Singapore,Bianca Leblanc,HSBC,HSBC,John Gardner,2024-10-26,False
debit,153cd227-201b-4f47-b01f-cdbdce5aa622,33609.51,82365.5,48755.99,60624.68,94234.19,Germany,Abigail Drake,Deutsche Bank,Chase Bank,Jennifer Cook,2024-03-16,False
cash_out,0029691e-0c18-4305-8341-f831ea4a742b,47307.54,69006.92,21699.38,1638.94,48946.48,Germany,Kristen Perry DVM,Bank of America,State Bank of India,Tyler Kramer,2020-07-31,False
debit,bff00766-c2da-4775-b855-bed4f7510fcf,46826.59,96742.44,49915.85,24948.47,71775.06,UK,Aaron Sanders,State Bank of India,Chase Bank,Patricia Owen,2023-04-07,False
cash_out,b99f2fda-6d7c-4eac-9884-d5c2000d3188,16778.0,90601.46,73823.46,17859.41,34637.41,UK,Jillian Graham,HDFC Bank,Standard Chartered,Kelsey Jones,2025-02-15,False
transfer,7ad429aa-d316-4e61-bb13-7b5456a3a6f3,17881.5,50419.06,32537.56,17779.93,35661.43,Germany,Brian Rivers,Barclays,DBS Bank,Miss Shannon Galvan MD,2020-10-11,False
debit,6cd7e0dd-6b1d-4cf4-a871-4d38976aac4a,34239.01,117906.2,83667.19,27506.81,61745.82,India,Krista Duran,State Bank of India,HSBC,Leslie Ford,2024-05-16,False
cash_out,6db3d2a1-0391-4aaf-a7d1-550f6e502cad,45329.73,73973.53,28643.8,75955.45,121285.18,India,Nicholas Howell,Barclays,Deutsche Bank,Timothy Owens,2021-07-08,False
cash_out,8552fdcc-4149-4bea-8452-e933563e2831,38371.38,39756.93,1385.55,87149.95,125521.33,USA,Nathan Jones,Bank of America,Wells Fargo,Calvin Dunn,2021-06-15,False
transfer,cec9646b-bc92-479c-ba9a-7c30143cdd5e,23714.37,99977.7,76263.33,6529.5,30243.87,Germany,Larry Jones,Bank of America,Chase Bank,Hailey Stephens,2023-06-20,False
cash_out,898944ed-33f8-4a58-8b53-58923068dadd,7629.44,59621.52,51992.08,10270.84,17900.28,India,Amy Walker,Wells Fargo,ICICI Bank,Kimberly Rhodes,2024-03-29,False
cash_out,7936931e-9771-480b-b768-c85bfee3dbaa,39844.66,111682.13,71837.47,12354.42,52199.08,India,Laura Tran,HSBC,Standard Chartered,Scott Burns,2022-05-30,False
cash_out,6961a383-dcee-42eb-8351-c35967396010,16187.07,105141.58,88954.51,56381.04,72568.11,USA,Kyle Myers,Bank of America,State Bank of India,Joann Taylor,2020-12-13,False
cash_out,d38c9b27-a7ef-4833-8b33-70a00802103e,40607.76,69380.32,28772.56,65776.0,106383.76,Canada,Matthew Campos,Barclays,UBS,Sarah Fox,2022-12-21,False
cash_out,27880195-1e51-4369-a89e-6ee63fc56289,35049.66,83589.47,48539.81,13869.29,48918.95,UK,Jacob Fernandez,Wells Fargo,Wells Fargo,Donna Payne,2021-11-26,False
transfer,53c58058-7537-4eee-b313-72943aebb2c7,15134.15,63215.51,48081.36,63601.41,78735.56,USA,Richard Patterson,Kotak Mahindra Bank,State Bank of India,Lori Ritter,2024-05-09,False
debit,2e7789df-4fd2-4c67-a4b4-402a6f2b1328,44727.89,63048.56,18320.67,91721.38,136449.27,USA,Lauren Murphy,Bank of America,HSBC,Christine Oneal,2020-12-18,False
cash_out,fef86813-0b29-426c-9728-52b0380734de,36153.34,133602.02,97448.68,67141.65,103294.99,Canada,Michael Weber,Kotak Mahindra Bank,HSBC,James Reid,2020-08-01,False
transfer,b44d1741-588c-4f76-8a8c-47f55d8ce793,15703.07,61158.17,45455.1,63846.81,79549.88,USA,Beth Arnold,Chase Bank,Wells Fargo,Jodi Burch,2021-11-01,False
debit,74901657-a89b-4d6a-a2b4-322c321343c5,29544.01,102456.12,72912.11,24297.2,53841.21,Singapore,Ashley Thomas,HDFC Bank,State Bank of India,Debra Henderson,2022-12-08,False
debit,ec35e288-954f-4a6d-80ff-506216ce4a9d,1188.12,34852.51,33664.39,59172.95,60361.07,USA,Eric Schultz,ICICI Bank,Standard Chartered,Matthew Pope,2021-06-10,False
transfer,f441a634-bcd1-45af-a7eb-06b9f255b7b5,17489.87,110054.73,92564.86,87150.05,104639.92,Canada,Sarah Ortiz,Kotak Mahindra Bank,UBS,Dustin Hamilton,2024-01-08,False
debit,b767ffe5-d2c5-488a-837e-5297e4ec586a,11498.57,20523.55,9024.98,5748.79,17247.36,Singapore,Elizabeth Allen,HDFC Bank,Bank of America,Heather Thompson,2021-08-10,False
cash_out,07e2eeb2-eb6a-45fa-9eaa-3c563cb16887,13828.7,96323.36,82494.66,82598.62,96427.32,USA,Debbie Cox,Kotak Mahindra Bank,Wells Fargo,Sarah Richmond,2020-11-14,False
cash_out,afffcfd2-341e-440b-97c7-00aab7b56ea7,42660.35,93201.26,50540.91,25112.13,67772.48,Singapore,Brittney Campbell,ICICI Bank,HDFC Bank,Fermin Mane,2022-04-01,True
transfer,be332380-b7aa-43b6-a900-b66f6083bf88,28591.57,78616.42,50024.85,12064.26,40655.83,Canada,Robert Cook II,DBS Bank,Deutsche Bank,Lindsay Schneider,2025-05-10,False
cash_out,4111a12e-5206-4a89-b01d-d8260434509e,28436.26,102871.98,74435.72,83081.93,111518.19,Singapore,Jamie Perez,DBS Bank,Deutsche Bank,Roy Anderson,2022-08-02,False
cash_out,fc549e41-b492-4641-ac42-33669e1e7568,1778.91,57466.29,55687.38,79965.74,81744.65,Germany,David Leonard,Chase Bank,ICICI Bank,Terri Molina,2021-02-07,False
debit,d4f67c6e-ebfd-4046-94e2-03d0d048adcc,34160.42,72410.12,38249.7,35803.74,69964.16,Canada,Holly Smith,Chase Bank,Bank of America,Lydia Adams,2022-06-25,False
transfer,20e29717-c5cd-4d28-86cc-69471006ba32,18080.03,69431.5,51351.47,34981.08,53061.11,UK,Virginia Hernandez,Barclays,HDFC Bank,Mark Smith DDS,2024-02-12,False
debit,1c5bfa36-5c22-4d42-b08b-1908ad50fd60,30210.45,78960.04,48749.59,15797.3,46007.75,USA,Jason Kelly,Chase Bank,Bank of America,Kathleen Richards,2021-02-15,False
cash_out,02b8ecd8-92b2-4726-91fd-95d53e0510dd,1287.61,14746.83,13459.22,57808.84,59096.45,UK,Joel Garza,State Bank of India,DBS Bank,Patricia Anderson,2023-11-01,False
transfer,3d0d5d3e-3e59-4f54-b892-a07fa45ac955,4182.56,39331.79,35149.23,14819.02,19001.58,Singapore,Diane Smith,DBS Bank,Bank of America,Stephanie Baldwin,2021-12-10,False
debit,47c534e3-8314-48cb-853f-349fa2908eda,25559.4,123874.79,98315.39,89317.1,114876.5,UK,Matthew Jones,UBS,Wells Fargo,Amy Howard,2025-06-16,False
transfer,e9b2286b-4d2a-4ec7-829d-b4a00609ac3b,42379.38,83232.84,40853.46,44413.31,86792.69,USA,Sharon Lane,Barclays,Standard Chartered,Eileen Jones,2022-11-29,False
transfer,2c2aeb84-4f77-4103-b800-780197486334,36912.49,83248.88,46336.39,9850.08,46762.57,UK,Christopher Allison,Wells Fargo,ICICI Bank,Jaime Hart,2023-06-06,False
transfer,c4415b05-d4f6-4f83-9493-b46e4ba40f5c,21089.42,109874.68,88785.26,47537.49,68626.91,France,Brad Adams,Bank of America,UBS,Martha Bass,2024-05-12,False
transfer,f62ff2d5-a387-40d0-b189-94674f4ebb8d,15478.94,61444.97,45966.03,42246.97,57725.91,India,Kayla Obrien,Standard Chartered,Barclays,Christina Vasquez,2021-12-17,False
cash_out,e4e45efe-59e4-44d6-aeaa-5a63c225a9d3,9300.98,102376.02,93075.04,6349.33,15650.31,France,David Chase,Standard Chartered,HSBC,William Clayton,2024-01-26,False
